'Duarte, Eduardo|"El mundo del espectáculo" (1968) 
'Duke' Whitney Jr., Barry|"This Old House" (1979) {North Shore Farmhouse: The North Shore Is a Blast (#35.18)}  [Himself - Frame Shop Materials Processor]  
'Eddie' Eldemire, Edward|German Town: The Lost Story of Seaford Town Jamaica (2015)  
'Edelserpentin' Bernstein, Musikverein|90 Jahre Burgenland (2011) (TV)  
'El Burro' Van Rankin, Jorge|Guardianes de Oz (2015)  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|Serafín: La película (2001)  (voice) (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"40 y 20" 
'El Burro' Van Rankin, Jorge|"Big Brother VIP 3" (2004) {(2004-06-04)}  (as Jorge Van Rankin)  [Himself]  
'El Burro' Van Rankin, Jorge|"Big Brother VIP 3" (2004) {(2004-06-27)}  (as Jorge Van Rankin)  [Himself]  
'El Burro' Van Rankin, Jorge|"Big Brother VIP 3" (2004) {(2004-06-30)}  (as Jorge Van Rankin)  [Himself]  
'El Burro' Van Rankin, Jorge|"Big Brother VIP 3" (2004) {(2004-07-04)}  (as Jorge Van Rankin)  [Himself]  
'El Burro' Van Rankin, Jorge|"Big Brother VIP: México" (2002)  (as El Burro)  [Himself (6th Evicted 2003/13th Evicted 2004-1)]  
'El Burro' Van Rankin, Jorge|"Carita de ángel" (2000) {Carita de ángel (#1.1)}  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Contra viento y marea" (2005) {Contra viento y marea (#1.1)}  (as Jorge Van Rankin)  [Dr. Ornelas]  
'El Burro' Van Rankin, Jorge|"El Calabozo" (1993)  (as Jorge Van Rankin)  [Himself - Host (1993-1997)]  
'El Burro' Van Rankin, Jorge|"Espacio en blanco" (2006)  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Hasta adentro" (2006)  (as Jorge Van Rankin)  
'El Burro' Van Rankin, Jorge|"Historias engarzadas" (2004) {Paulina Rubio}  (as Jorge Van Rankin)  [Himself]  
'El Burro' Van Rankin, Jorge|"Hoy" (1998) {(2016-06-23)}  (as Jorge Van Rankin)  [Himself - Host]  
'El Burro' Van Rankin, Jorge|"Hoy" (1998) {(2016-07-04)}  (as Jorge Van Rankin)  [Himself - Host]  
'El Burro' Van Rankin, Jorge|"Inocente de ti" (2004) {(#1.2)}  (as Jorge Van Rankin)  [Pepe Toño]  
'El Burro' Van Rankin, Jorge|"Inocente de ti" (2004) {(#1.3)}  (as Jorge Van Rankin)  [Pepe Toño]  
